date,region,wind_speed
2020-04-16,Nord,17.6
2020-04-16,Süd,11.1
2020-04-17,Nord,15.6
2020-04-17,Süd,11.5
2020-04-18,Nord,20.3
2020-04-18,Süd,17.1
2020-04-19,Nord,22.6
2020-04-19,Süd,20.6
2020-04-20,Nord,22.7
2020-04-20,Süd,26.3
2020-04-21,Nord,27.4
2020-04-21,Süd,30.1
2020-04-22,Nord,19.5
2020-04-22,Süd,20.6
2020-04-23,Nord,12.7
2020-04-23,Süd,12.1
2020-04-24,Nord,26.1
2020-04-24,Süd,22.7
2020-04-25,Nord,18.7
2020-04-25,Süd,18.3
2020-04-26,Nord,12.1
2020-04-26,Süd,10.0
2020-04-27,Nord,14.8
2020-04-27,Süd,13.4
2020-04-28,Nord,17.3
2020-04-28,Süd,12.7
2020-04-29,Nord,13.8
2020-04-29,Süd,22.5
2020-04-30,Nord,20.0
2020-04-30,Süd,16.1
2020-05-01,Nord,22.9
2020-05-01,Süd,17.9
2020-05-02,Nord,22.2
2020-05-02,Süd,24.9
2020-05-03,Nord,16.0
2020-05-03,Süd,14.2
2020-05-04,Nord,22.4
2020-05-04,Süd,12.7
2020-05-05,Nord,21.2
2020-05-05,Süd,12.5
2020-05-06,Nord,22.4
2020-05-06,Süd,10.5
2020-05-07,Nord,19.3
2020-05-07,Süd,10.5
2020-05-08,Nord,10.9
2020-05-08,Süd,11.8
2020-05-09,Nord,9.1
2020-05-09,Süd,11.5
2020-05-10,Nord,23.9
2020-05-10,Süd,13.5
2020-05-11,Nord,26.6
2020-05-11,Süd,19.5
2020-05-12,Nord,27.1
2020-05-12,Süd,14.6
2020-05-13,Nord,16.3
2020-05-13,Süd,14.5
2020-05-14,Nord,17.0
2020-05-14,Süd,14.7
2020-05-15,Nord,25.5
2020-05-15,Süd,18.2
2020-05-16,Nord,24.1
2020-05-16,Süd,10.3
2020-05-17,Nord,23.8
2020-05-17,Süd,11.2
2020-05-18,Nord,24.5
2020-05-18,Süd,10.8
2020-05-19,Nord,21.6
2020-05-19,Süd,11.3
2020-05-20,Nord,9.2
2020-05-20,Süd,12.4
2020-05-21,Nord,13.4
2020-05-21,Süd,8.7
2020-05-22,Nord,18.9
2020-05-22,Süd,12.0
2020-05-23,Nord,19.8
2020-05-23,Süd,23.9
2020-05-24,Nord,24.1
2020-05-24,Süd,25.6
2020-05-25,Nord,27.0
2020-05-25,Süd,21.1
2020-05-26,Nord,8.1
2020-05-26,Süd,14.5
2020-05-27,Nord,21.5
2020-05-27,Süd,11.1
2020-05-28,Nord,13.2
2020-05-28,Süd,13.4
2020-05-29,Nord,19.9
2020-05-29,Süd,14.3
2020-05-30,Nord,18.1
2020-05-30,Süd,14.2
2020-05-31,Nord,23.1
2020-05-31,Süd,14.5
2020-06-01,Nord,20.8
2020-06-01,Süd,17.3
2020-06-02,Nord,12.6
2020-06-02,Süd,9.4
2020-06-03,Nord,17.0
2020-06-03,Süd,12.6
2020-06-04,Nord,16.7
2020-06-04,Süd,16.8
2020-06-05,Nord,26.1
2020-06-05,Süd,26.1
2020-06-06,Nord,27.3
2020-06-06,Süd,21.0
2020-06-07,Nord,24.6
2020-06-07,Süd,14.0
2020-06-08,Nord,10.8
2020-06-08,Süd,14.0
2020-06-09,Nord,11.9
2020-06-09,Süd,14.4
2020-06-10,Nord,19.9
2020-06-10,Süd,11.3
2020-06-11,Nord,22.6
2020-06-11,Süd,10.1
2020-06-12,Nord,17.4
2020-06-12,Süd,16.4
2020-06-13,Nord,18.7
2020-06-13,Süd,15.7
2020-06-14,Nord,19.1
2020-06-14,Süd,29.6
2020-06-15,Nord,16.3
2020-06-15,Süd,21.7
2020-06-16,Nord,8.2
2020-06-16,Süd,13.0
2020-06-17,Nord,13.4
2020-06-17,Süd,20.0
2020-06-18,Nord,13.2
2020-06-18,Süd,16.8
2020-06-19,Nord,21.9
2020-06-19,Süd,16.4
2020-06-20,Nord,21.2
2020-06-20,Süd,16.8
2020-06-21,Nord,10.4
2020-06-21,Süd,13.8
2020-06-22,Nord,18.6
2020-06-22,Süd,14.8
2020-06-23,Nord,12.9
2020-06-23,Süd,13.6
2020-06-24,Nord,18.2
2020-06-24,Süd,17.6
2020-06-25,Nord,21.2
2020-06-25,Süd,15.3
2020-06-26,Nord,16.8
2020-06-26,Süd,18.4
2020-06-27,Nord,19.1
2020-06-27,Süd,12.5
2020-06-28,Nord,24.2
2020-06-28,Süd,14.2
2020-06-29,Nord,24.5
2020-06-29,Süd,17.4
2020-06-30,Nord,33.1
2020-06-30,Süd,19.1
2020-07-01,Nord,21.5
2020-07-01,Süd,18.0
2020-07-02,Nord,16.6
2020-07-02,Süd,13.8
2020-07-03,Nord,21.7
2020-07-03,Süd,11.6
2020-07-04,Nord,28.8
2020-07-04,Süd,13.0
2020-07-05,Nord,36.2
2020-07-05,Süd,20.3
2020-07-06,Nord,33.1
2020-07-06,Süd,24.1
2020-07-07,Nord,26.3
2020-07-07,Süd,8.8
2020-07-08,Nord,17.3
2020-07-08,Süd,18.4
2020-07-09,Nord,17.4
2020-07-09,Süd,14.1
2020-07-10,Nord,22.1
2020-07-10,Süd,19.9
2020-07-11,Nord,20.5
2020-07-11,Süd,9.6
2020-07-12,Nord,17.2
2020-07-12,Süd,12.0
2020-07-13,Nord,13.5
2020-07-13,Süd,17.2
2020-07-14,Nord,14.8
2020-07-14,Süd,10.6
2020-07-15,Nord,15.7
2020-07-15,Süd,12.1
2020-07-16,Nord,10.9
2020-07-16,Süd,14.9
2020-07-17,Nord,9.5
2020-07-17,Süd,12.2
2020-07-18,Nord,10.3
