species,lat,lon,date,locId,locName,area_type
Eurasian Jay,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
Eurasian Magpie,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
Coal Tit,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
Eurasian Blue Tit,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
Long-tailed Tit,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
Eurasian Nuthatch,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
European Robin,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
Hawfinch,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
Eurasian Bullfinch,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
European Greenfinch,54.175901,10.0281385,2026-02-05 11:42,L56978224,"25A Holstenstraße, Bordesholm, Schleswig-Holstein, DE (54,176, 10,028)",urban
Goldcrest,54.341566,10.118065,2026-02-05 11:25,L58076425,"Christian-Albrechts-Universität zu Kiel, Kiel DE-Schleswig-Holstein 54.34157, 10.11807",urban
Mallard,54.3466889,10.1144462,2026-02-05 10:57,L58075933,"4 Christian-Albrechts-Platz, Kiel, Schleswig-Holstein, DE (54,347, 10,114)",rural
Gray Heron,54.3466889,10.1144462,2026-02-05 10:57,L58075933,"4 Christian-Albrechts-Platz, Kiel, Schleswig-Holstein, DE (54,347, 10,114)",rural
Eurasian Jackdaw,54.3283323,10.1122036,2026-02-05 10:55,L58075916,"15A Alte Weide, Kiel, Schleswig-Holstein, DE (54,328, 10,112)",urban
Rook,54.3283323,10.1122036,2026-02-05 10:55,L58075916,"15A Alte Weide, Kiel, Schleswig-Holstein, DE (54,328, 10,112)",urban
Eurasian Tree Sparrow,53.743755,10.301232,2026-02-05 08:40,L45097057,Twiete,urban
Redpoll,53.58891,9.7210285,2026-02-05,L40460833,Wedeler Au / Autal Wiesen,rural
Eurasian Tree Sparrow,54.3346176,10.1206932,2026-02-06 16:53,L31457530,"Schauenburgerstrasse, Kiel",urban
