date,region,wind_speed,species,count,obs_freq
2020-02-27,Süd,,Mallard,1,1
2020-02-27,Süd,,Tufted Duck,1,1
2020-02-28,Nord,,Mallard,10,1
2020-02-28,Nord,,Tufted Duck,4,1
2020-02-28,Süd,,Mallard,5,1
2020-02-28,Süd,,Tufted Duck,39,1
2020-02-29,Süd,,Mallard,1,1
2020-02-29,Süd,,Eurasian Wigeon,12,1
2020-02-29,Süd,,Tufted Duck,1,1
2020-03-01,Nord,,Mallard,3,1
2020-03-01,Süd,,Mallard,10,1
2020-03-01,Süd,,Eurasian Wigeon,26,1
2020-03-01,Süd,,Tufted Duck,900,1
2020-03-02,Nord,,Mallard,2,1
2020-03-02,Süd,,Mallard,17,1
2020-03-02,Süd,,Tufted Duck,8,1
2020-03-03,Süd,,Mallard,7,1
2020-03-04,Nord,,Mallard,10,1
2020-03-04,Nord,,Tufted Duck,1,1
2020-03-04,Süd,,Mallard,25,1
2020-03-04,Süd,,Tufted Duck,26,1
2020-03-05,Süd,,Mallard,1,1
2020-03-05,Süd,,Tufted Duck,1,1
2020-03-06,Nord,,Mallard,21,1
2020-03-06,Nord,,Tufted Duck,4,1
2020-03-06,Süd,,Mallard,2,1
2020-03-06,Süd,,Tufted Duck,4,1
2020-03-07,Süd,,Mallard,1,1
2020-03-07,Süd,,Tufted Duck,13,1
2020-03-08,Süd,,Mallard,2,1
2020-03-08,Süd,,Eurasian Wigeon,2,1
2020-03-08,Süd,,Tufted Duck,1,1
2020-03-09,Nord,,Mallard,2,1
2020-03-09,Süd,,Mallard,1,1
2020-03-09,Süd,,Tufted Duck,14,1
2020-03-11,Süd,,Mallard,2,1
2020-03-11,Süd,,Tufted Duck,1,1
2020-03-12,Süd,,Mallard,5,1
2020-03-12,Süd,,Tufted Duck,6,1
2020-03-13,Süd,,Mallard,1,1
2020-03-13,Süd,,Tufted Duck,12,1
2020-03-14,Süd,,Mallard,2,1
2020-03-14,Süd,,Eurasian Wigeon,1,1
2020-03-14,Süd,,Tufted Duck,4,1
2020-03-15,Nord,,Mallard,14,1
2020-03-15,Nord,,Eurasian Wigeon,12,1
2020-03-15,Nord,,Tufted Duck,21,1
2020-03-15,Süd,,Mallard,6,1
2020-03-15,Süd,,Eurasian Wigeon,4,1
2020-03-15,Süd,,Tufted Duck,4,1
2020-03-16,Süd,,Mallard,8,1
2020-03-16,Süd,,Eurasian Wigeon,2,1
2020-03-16,Süd,,Tufted Duck,25,1
2020-03-17,Süd,,Mallard,58,1
2020-03-17,Süd,,Tufted Duck,100,1
2020-03-18,Süd,,Mallard,6,1
2020-03-18,Süd,,Tufted Duck,14,1
2020-03-19,Süd,,Mallard,2,1
2020-03-19,Süd,,Eurasian Wigeon,6,1
2020-03-19,Süd,,Tufted Duck,15,1
2020-03-20,Süd,,Mallard,1,1
2020-03-20,Süd,,Tufted Duck,1,1
2020-03-21,Süd,,Mallard,4,1
2020-03-21,Süd,,Tufted Duck,1,1
2020-03-22,Süd,,Mallard,2,1
2020-03-22,Süd,,Eurasian Wigeon,4,1
2020-03-22,Süd,,Tufted Duck,1,1
2020-03-23,Süd,,Mallard,3,1
2020-03-23,Süd,,Tufted Duck,1,1
2020-03-24,Süd,,Mallard,2,1
2020-03-24,Süd,,Tufted Duck,17,1
2020-03-25,Süd,,Mallard,4,1
2020-03-25,Süd,,Tufted Duck,1,1
2020-03-26,Süd,,Mallard,1,1
2020-03-26,Süd,,Eurasian Wigeon,4,1
2020-03-26,Süd,,Tufted Duck,2,1
2020-03-27,Süd,,Mallard,2,1
2020-03-27,Süd,,Eurasian Wigeon,2,1
2020-03-27,Süd,,Tufted Duck,10,1
2020-03-28,Süd,,Mallard,2,1
2020-03-28,Süd,,Eurasian Wigeon,3,1
2020-03-28,Süd,,Tufted Duck,1,1
2020-03-29,Süd,,Mallard,1,1
2020-03-29,Süd,,Tufted Duck,1,1
2020-03-30,Süd,,Mallard,6,1
2020-03-30,Süd,,Tufted Duck,2,1
2020-03-31,Süd,,Mallard,1,1
2020-03-31,Süd,,Tufted Duck,12,1
2020-04-01,Süd,,Mallard,2,1
2020-04-01,Süd,,Tufted Duck,7,1
2020-04-02,Süd,,Mallard,4,1
2020-04-02,Süd,,Eurasian Wigeon,10,1
2020-04-02,Süd,,Tufted Duck,4,1
2020-04-03,Süd,,Mallard,20,1
2020-04-03,Süd,,Tufted Duck,21,1
2020-04-04,Nord,,Mallard,3,1
2020-04-04,Nord,,Tufted Duck,20,1
2020-04-04,Süd,,Mallard,1,1
2020-04-04,Süd,,Eurasian Wigeon,1,1
2020-04-04,Süd,,Tufted Duck,1,1
2020-04-05,Süd,,Mallard,1,1
2020-04-05,Süd,,Eurasian Wigeon,2,1
2020-04-05,Süd,,Tufted Duck,30,1
2020-04-06,Nord,,Mallard,10,1
2020-04-06,Nord,,Tufted Duck,10,1
2020-04-06,Süd,,Mallard,4,1
2020-04-06,Süd,,Eurasian Wigeon,43,1
2020-04-06,Süd,,Tufted Duck,1,1
2020-04-07,Süd,,Mallard,2,1
2020-04-07,Süd,,Eurasian Wigeon,2,1
2020-04-07,Süd,,Tufted Duck,33,1
2020-04-08,Süd,,Mallard,1,1
2020-04-08,Süd,,Eurasian Wigeon,8,1
2020-04-08,Süd,,Tufted Duck,1,1
2020-04-09,Süd,,Mallard,4,1
2020-04-09,Süd,,Eurasian Wigeon,1,1
2020-04-09,Süd,,Tufted Duck,30,1
2020-04-10,Süd,,Mallard,1,1
2020-04-10,Süd,,Eurasian Wigeon,1,1
2020-04-10,Süd,,Tufted Duck,7,1
2020-04-11,Süd,,Mallard,15,1
2020-04-11,Süd,,Eurasian Wigeon,9,1
2020-04-11,Süd,,Tufted Duck,15,1
2020-04-12,Süd,,Mallard,1,1
2020-04-12,Süd,,Eurasian Wigeon,13,1
2020-04-12,Süd,,Tufted Duck,60,1
2020-04-13,Süd,,Mallard,5,1
2020-04-13,Süd,,Eurasian Wigeon,2,1
2020-04-13,Süd,,Tufted Duck,18,1
2020-04-14,Süd,,Mallard,9,1
2020-04-14,Süd,,Eurasian Wigeon,2,1
2020-04-14,Süd,,Tufted Duck,20,1
2020-04-15,Süd,,Mallard,2,1
2020-04-15,Süd,,Eurasian Wigeon,6,1
2020-04-15,Süd,,Tufted Duck,8,1
2020-04-16,Nord,,Mallard,3,1
2020-04-16,Süd,,Mallard,7,1
2020-04-16,Süd,,Eurasian Wigeon,1,1
2020-04-16,Süd,,Tufted Duck,20,1
2020-04-17,Süd,,Mallard,4,1
2020-04-17,Süd,,Eurasian Wigeon,8,1
2020-04-17,Süd,,Tufted Duck,15,1
2020-04-18,Nord,,Mallard,12,1
2020-04-18,Nord,,Tufted Duck,20,1
2020-04-18,Süd,,Mallard,1,1
2020-04-18,Süd,,Eurasian Wigeon,2,1
2020-04-18,Süd,,Tufted Duck,8,1
2020-04-19,Nord,,Mallard,30,1
2020-04-19,Nord,,Tufted Duck,1,1
2020-04-19,Süd,,Mallard,1,1
2020-04-19,Süd,,Eurasian Wigeon,2,1
2020-04-19,Süd,,Tufted Duck,1,1
2020-04-20,Süd,,Mallard,11,1
2020-04-20,Süd,,Eurasian Wigeon,3,1
2020-04-20,Süd,,Tufted Duck,2,1
2020-04-21,Süd,,Mallard,1,1
2020-04-21,Süd,,Eurasian Wigeon,2,1
2020-04-21,Süd,,Tufted Duck,1,1
2020-04-22,Süd,,Mallard,6,1
2020-04-22,Süd,,Eurasian Wigeon,3,1
2020-04-22,Süd,,Tufted Duck,12,1
2020-04-23,Nord,,Mallard,4,1
2020-04-23,Nord,,Tufted Duck,4,1
2020-04-23,Süd,,Mallard,2,1
2020-04-23,Süd,,Eurasian Wigeon,5,1
2020-04-23,Süd,,Tufted Duck,8,1
2020-04-24,Nord,,Mallard,9,1
2020-04-24,Nord,,Tufted Duck,75,1
2020-04-24,Süd,,Mallard,1,1
2020-04-24,Süd,,Eurasian Wigeon,4,1
2020-04-24,Süd,,Tufted Duck,2,1
2020-04-25,Süd,,Mallard,8,1
2020-04-25,Süd,,Eurasian Wigeon,1,1
2020-04-25,Süd,,Tufted Duck,9,1
2020-04-26,Nord,,Mallard,2,1
2020-04-26,Nord,,Tufted Duck,2,1
2020-04-26,Süd,,Mallard,1,1
2020-04-26,Süd,,Eurasian Wigeon,1,1
2020-04-26,Süd,,Tufted Duck,15,1
2020-04-27,Nord,,Mallard,5,1
2020-04-27,Süd,,Mallard,3,1
2020-04-27,Süd,,Tufted Duck,4,1
2020-04-28,Süd,,Mallard,4,1
2020-04-28,Süd,,Eurasian Wigeon,2,1
2020-04-28,Süd,,Tufted Duck,2,1
2020-04-29,Nord,,Mallard,4,1
2020-04-29,Nord,,Tufted Duck,1,1
