Date,Region,Species,Count
2021/10/02,DE-NI,Common Crane,4
2021/10/04,DE-NI,Common Crane,3
2021/10/06,DE-NI,Common Crane,2
2021/10/07,DE-NI,Common Crane,0
2021/10/08,DE-NI,Common Crane,2
2021/10/09,DE-NI,Common Crane,120
2021/10/10,DE-NI,Common Crane,45
2021/10/12,DE-NI,Common Crane,3
2021/10/13,DE-NI,Common Crane,155
2021/10/14,DE-NI,Common Crane,5
2021/10/15,DE-NI,Common Crane,7
2021/10/16,DE-NI,Common Crane,165
2021/10/19,DE-NI,Common Crane,35
2021/10/20,DE-NI,Common Crane,2
2021/10/21,DE-NI,Common Crane,2
2021/10/22,DE-NI,Common Crane,270
2021/10/23,DE-NI,Common Crane,200
2021/10/24,DE-NI,Common Crane,88
2021/10/25,DE-NI,Common Crane,20
2021/10/26,DE-NI,Common Crane,2
2021/10/28,DE-NI,Common Crane,30
2021/10/29,DE-NI,Common Crane,0
2021/10/30,DE-NI,Common Crane,25
2021/10/31,DE-NI,Common Crane,0
2021/11/02,DE-NI,Common Crane,4
2021/11/03,DE-NI,Common Crane,0
2021/11/04,DE-NI,Common Crane,17
2021/11/05,DE-NI,Common Crane,12
2021/11/06,DE-NI,Common Crane,1200
2021/11/07,DE-NI,Common Crane,3
2021/11/08,DE-NI,Common Crane,70
2021/11/09,DE-NI,Common Crane,1000
2021/11/10,DE-NI,Common Crane,83
2021/11/12,DE-NI,Common Crane,5
2021/11/13,DE-NI,Common Crane,980
2021/11/14,DE-NI,Common Crane,17
2021/11/15,DE-NI,Common Crane,6
2021/11/21,DE-NI,Common Crane,9
2021/11/22,DE-NI,Common Crane,212
2021/11/23,DE-NI,Common Crane,44
2021/11/26,DE-NI,Common Crane,22
2021/11/27,DE-NI,Common Crane,3
2021/11/28,DE-NI,Common Crane,1000
2021/11/29,DE-NI,Common Crane,100
2021/12/05,DE-NI,Common Crane,0
2021/12/09,DE-NI,Common Crane,0
2021/12/10,DE-NI,Common Crane,32
2021/12/11,DE-NI,Common Crane,3
2021/12/18,DE-NI,Common Crane,2
2021/12/19,DE-NI,Common Crane,9
2021/12/20,DE-NI,Common Crane,5
2021/12/22,DE-NI,Common Crane,100
2021/12/25,DE-NI,Common Crane,50
2021/12/26,DE-NI,Common Crane,66
2021/12/27,DE-NI,Common Crane,80
2021/12/28,DE-NI,Common Crane,11
2021/12/29,DE-NI,Common Crane,10
2021/12/30,DE-NI,Common Crane,2
2021/12/31,DE-NI,Common Crane,20
2022/01/01,DE-NI,Common Crane,11
2022/01/02,DE-NI,Common Crane,25
2022/01/03,DE-NI,Common Crane,226
2022/01/06,DE-NI,Common Crane,20
2022/01/15,DE-NI,Common Crane,0
2022/01/22,DE-NI,Common Crane,2
2022/01/28,DE-NI,Common Crane,2
2022/02/05,DE-NI,Common Crane,4
2022/02/06,DE-NI,Common Crane,2
2022/02/07,DE-NI,Common Crane,70
2022/02/08,DE-NI,Common Crane,2
2022/02/09,DE-NI,Common Crane,0
2022/02/10,DE-NI,Common Crane,6
2022/02/11,DE-NI,Common Crane,570
2022/02/12,DE-NI,Common Crane,0
2022/02/13,DE-NI,Common Crane,110
2022/02/14,DE-NI,Common Crane,48
2022/02/19,DE-NI,Common Crane,0
2022/02/20,DE-NI,Common Crane,3
2022/02/22,DE-NI,Common Crane,3
2022/02/23,DE-NI,Common Crane,30
2022/02/25,DE-NI,Common Crane,70
2022/02/26,DE-NI,Common Crane,5
2022/02/27,DE-NI,Common Crane,300
2022/02/28,DE-NI,Common Crane,50
2022/03/02,DE-NI,Common Crane,1
2022/03/03,DE-NI,Common Crane,79
2022/03/04,DE-NI,Common Crane,60
2022/03/05,DE-NI,Common Crane,14
2022/03/06,DE-NI,Common Crane,30
2022/03/08,DE-NI,Common Crane,16
2022/03/09,DE-NI,Common Crane,75
2022/03/11,DE-NI,Common Crane,30
2022/03/12,DE-NI,Common Crane,30
2022/03/13,DE-NI,Common Crane,4
2022/03/15,DE-NI,Common Crane,7
2022/03/17,DE-NI,Common Crane,2
2022/03/18,DE-NI,Common Crane,30
2022/03/20,DE-NI,Common Crane,0
2022/03/21,DE-NI,Common Crane,250
2022/03/22,DE-NI,Common Crane,1
2022/03/23,DE-NI,Common Crane,2
2022/03/24,DE-NI,Common Crane,2
2022/03/25,DE-NI,Common Crane,0
2022/03/26,DE-NI,Common Crane,2
2022/03/27,DE-NI,Common Crane,0
2022/03/28,DE-NI,Common Crane,0
2022/03/30,DE-NI,Common Crane,2
2022/04/01,DE-NI,Common Crane,2
2022/04/02,DE-NI,Common Crane,2
2022/04/03,DE-NI,Common Crane,250
2022/04/08,DE-NI,Common Crane,3
2022/04/09,DE-NI,Common Crane,4
2022/04/10,DE-NI,Common Crane,2
2022/04/11,DE-NI,Common Crane,10
2022/04/12,DE-NI,Common Crane,2
2022/04/13,DE-NI,Common Crane,15
2022/04/14,DE-NI,Common Crane,2
2022/04/15,DE-NI,Common Crane,1
2022/04/16,DE-NI,Common Crane,4
2022/04/17,DE-NI,Common Crane,11
2022/04/18,DE-NI,Common Crane,4
2022/04/19,DE-NI,Common Crane,0
2022/04/20,DE-NI,Common Crane,1
2022/04/21,DE-NI,Common Crane,2
2022/04/22,DE-NI,Common Crane,22
2022/04/23,DE-NI,Common Crane,15
2022/04/24,DE-NI,Common Crane,5
2022/04/26,DE-NI,Common Crane,2
2022/04/29,DE-NI,Common Crane,1
2022/04/30,DE-NI,Common Crane,0
2022/05/03,DE-NI,Common Crane,2
2022/05/04,DE-NI,Common Crane,3
2022/05/05,DE-NI,Common Crane,2
2022/05/06,DE-NI,Common Crane,1
2022/05/07,DE-NI,Common Crane,4
2022/05/08,DE-NI,Common Crane,13
2022/05/14,DE-NI,Common Crane,6
2022/05/17,DE-NI,Common Crane,2
2022/05/19,DE-NI,Common Crane,6
2022/05/20,DE-NI,Common Crane,2
2022/05/21,DE-NI,Common Crane,2
2022/05/22,DE-NI,Common Crane,0
2022/05/23,DE-NI,Common Crane,2
2022/05/24,DE-NI,Common Crane,2
2022/05/25,DE-NI,Common Crane,2
2022/05/26,DE-NI,Common Crane,2
2022/05/27,DE-NI,Common Crane,0
2022/05/28,DE-NI,Common Crane,2
2022/05/29,DE-NI,Common Crane,1
2022/05/30,DE-NI,Common Crane,30
2022/06/03,DE-NI,Common Crane,6
2022/06/04,DE-NI,Common Crane,2
2022/06/05,DE-NI,Common Crane,2
2022/06/06,DE-NI,Common Crane,3
2022/06/07,DE-NI,Common Crane,6
2022/06/08,DE-NI,Common Crane,2
2022/06/10,DE-NI,Common Crane,6
2022/06/12,DE-NI,Common Crane,5
2022/06/15,DE-NI,Common Crane,0
2022/06/16,DE-NI,Common Crane,4
2022/06/17,DE-NI,Common Crane,1
2022/06/18,DE-NI,Common Crane,1
2022/06/19,DE-NI,Common Crane,2
2022/06/27,DE-NI,Common Crane,15
2022/06/28,DE-NI,Common Crane,3
2022/07/02,DE-NI,Common Crane,4
2022/07/03,DE-NI,Common Crane,6
2022/07/05,DE-NI,Common Crane,1
2022/07/06,DE-NI,Common Crane,4
2022/07/07,DE-NI,Common Crane,2
2022/07/08,DE-NI,Common Crane,3
2022/07/09,DE-NI,Common Crane,1
2022/07/10,DE-NI,Common Crane,3
2022/07/11,DE-NI,Common Crane,3
2022/07/16,DE-NI,Common Crane,0
2022/07/17,DE-NI,Common Crane,5
2022/07/19,DE-NI,Common Crane,2
2022/07/20,DE-NI,Common Crane,2
2022/07/21,DE-NI,Common Crane,1
2022/07/22,DE-NI,Common Crane,2
2022/07/23,DE-NI,Common Crane,6
2022/07/25,DE-NI,Common Crane,8
2022/07/27,DE-NI,Common Crane,2
2022/07/28,DE-NI,Common Crane,7
2022/07/29,DE-NI,Common Crane,3
2022/07/31,DE-NI,Common Crane,2
2022/08/04,DE-NI,Common Crane,2
2022/08/06,DE-NI,Common Crane,275
2022/08/07,DE-NI,Common Crane,3
2022/08/08,DE-NI,Common Crane,0
2022/08/09,DE-NI,Common Crane,3
2022/08/12,DE-NI,Common Crane,2
2022/08/14,DE-NI,Common Crane,1
2022/08/16,DE-NI,Common Crane,3
2022/08/17,DE-NI,Common Crane,2
2022/08/18,DE-NI,Common Crane,6
2022/08/19,DE-NI,Common Crane,4
2022/08/20,DE-NI,Common Crane,4
2022/08/21,DE-NI,Common Crane,0
2022/08/24,DE-NI,Common Crane,2
2022/08/28,DE-NI,Common Crane,4
2022/09/01,DE-NI,Common Crane,4
2022/09/02,DE-NI,Common Crane,2
2022/09/04,DE-NI,Common Crane,0
2022/09/05,DE-NI,Common Crane,1
2022/09/09,DE-NI,Common Crane,6
2022/09/10,DE-NI,Common Crane,1
2022/09/11,DE-NI,Common Crane,4
2022/09/12,DE-NI,Common Crane,9
2022/09/13,DE-NI,Common Crane,2
2022/09/14,DE-NI,Common Crane,2
2022/09/18,DE-NI,Common Crane,3
2022/09/19,DE-NI,Common Crane,9
2022/09/21,DE-NI,Common Crane,2
2022/09/22,DE-NI,Common Crane,2
2022/09/24,DE-NI,Common Crane,2
2022/09/25,DE-NI,Common Crane,3
2022/09/28,DE-NI,Common Crane,0
2022/09/30,DE-NI,Common Crane,60
2022/10/02,DE-NI,Common Crane,1
2022/10/03,DE-NI,Common Crane,6
2022/10/04,DE-NI,Common Crane,2
2022/10/06,DE-NI,Common Crane,0
2022/10/09,DE-NI,Common Crane,16
2022/10/10,DE-NI,Common Crane,7
2022/10/12,DE-NI,Common Crane,50
2022/10/15,DE-NI,Common Crane,2
2022/10/16,DE-NI,Common Crane,12
2022/10/19,DE-NI,Common Crane,0
2022/10/20,DE-NI,Common Crane,820
2022/10/21,DE-NI,Common Crane,15
2022/10/22,DE-NI,Common Crane,80
2022/10/23,DE-NI,Common Crane,3
2022/10/24,DE-NI,Common Crane,0
2022/10/29,DE-NI,Common Crane,1200
2022/10/30,DE-NI,Common Crane,2500
2022/10/31,DE-NI,Common Crane,30
2022/11/01,DE-NI,Common Crane,1000
2022/11/02,DE-NI,Common Crane,0
2022/11/03,DE-NI,Common Crane,5
2022/11/04,DE-NI,Common Crane,20
2022/11/05,DE-NI,Common Crane,80
2022/11/06,DE-NI,Common Crane,5
2022/11/07,DE-NI,Common Crane,70
2022/11/12,DE-NI,Common Crane,369
2022/11/13,DE-NI,Common Crane,0
2022/11/14,DE-NI,Common Crane,12
2022/11/15,DE-NI,Common Crane,23
2022/11/16,DE-NI,Common Crane,1
2022/11/19,DE-NI,Common Crane,350
2022/12/07,DE-NI,Common Crane,2
2022/12/08,DE-NI,Common Crane,0
2022/12/09,DE-NI,Common Crane,8
2022/12/10,DE-NI,Common Crane,30
2022/12/11,DE-NI,Common Crane,0
2022/12/13,DE-NI,Common Crane,1
2022/12/14,DE-NI,Common Crane,0
2022/12/15,DE-NI,Common Crane,3
2022/12/26,DE-NI,Common Crane,11
2022/12/27,DE-NI,Common Crane,0
2022/12/28,DE-NI,Common Crane,1
2022/12/29,DE-NI,Common Crane,150
2022/12/30,DE-NI,Common Crane,35
2022/12/31,DE-NI,Common Crane,2
2023/01/01,DE-NI,Common Crane,1
2023/01/06,DE-NI,Common Crane,4
2023/01/07,DE-NI,Common Crane,2
2023/01/08,DE-NI,Common Crane,4
2023/01/15,DE-NI,Common Crane,2
2023/01/17,DE-NI,Common Crane,3
2023/01/18,DE-NI,Common Crane,1
2023/01/21,DE-NI,Common Crane,5
2023/01/26,DE-NI,Common Crane,44
2023/01/29,DE-NI,Common Crane,0
2023/02/02,DE-NI,Common Crane,2
2023/02/04,DE-NI,Common Crane,7
2023/02/06,DE-NI,Common Crane,12
2023/02/07,DE-NI,Common Crane,2
2023/02/08,DE-NI,Common Crane,4
2023/02/09,DE-NI,Common Crane,1
2023/02/10,DE-NI,Common Crane,1
2023/02/11,DE-NI,Common Crane,2
2023/02/13,DE-NI,Common Crane,7
2023/02/14,DE-NI,Common Crane,3
2023/02/15,DE-NI,Common Crane,105
2023/02/16,DE-NI,Common Crane,50
2023/02/18,DE-NI,Common Crane,35
2023/02/19,DE-NI,Common Crane,0
2023/02/20,DE-NI,Common Crane,0
2023/02/21,DE-NI,Common Crane,0
2023/02/22,DE-NI,Common Crane,7
2023/02/23,DE-NI,Common Crane,0
2023/02/25,DE-NI,Common Crane,32
2023/02/26,DE-NI,Common Crane,2
2023/02/27,DE-NI,Common Crane,164
2023/02/28,DE-NI,Common Crane,47
2023/03/01,DE-NI,Common Crane,8
2023/03/02,DE-NI,Common Crane,120
2023/03/03,DE-NI,Common Crane,340
2023/03/04,DE-NI,Common Crane,14
2023/03/05,DE-NI,Common Crane,11
2023/03/06,DE-NI,Common Crane,2
2023/03/08,DE-NI,Common Crane,39
2023/03/09,DE-NI,Common Crane,800
2023/03/10,DE-NI,Common Crane,28
2023/03/11,DE-NI,Common Crane,37
2023/03/12,DE-NI,Common Crane,0
2023/03/13,DE-NI,Common Crane,14
2023/03/15,DE-NI,Common Crane,20
2023/03/16,DE-NI,Common Crane,2
2023/03/17,DE-NI,Common Crane,4
2023/03/18,DE-NI,Common Crane,6
2023/03/19,DE-NI,Common Crane,0
2023/03/20,DE-NI,Common Crane,1
2023/03/22,DE-NI,Common Crane,4
2023/03/23,DE-NI,Common Crane,1
2023/03/24,DE-NI,Common Crane,200
2023/03/25,DE-NI,Common Crane,75
2023/03/26,DE-NI,Common Crane,0
2023/03/27,DE-NI,Common Crane,100
2023/03/29,DE-NI,Common Crane,4
2023/03/30,DE-NI,Common Crane,3
2023/03/31,DE-NI,Common Crane,18
2023/04/01,DE-NI,Common Crane,2
2023/04/02,DE-NI,Common Crane,200
2023/04/03,DE-NI,Common Crane,8
2023/04/04,DE-NI,Common Crane,70
2023/04/05,DE-NI,Common Crane,19
2023/04/06,DE-NI,Common Crane,43
2023/04/07,DE-NI,Common Crane,10
2023/04/08,DE-NI,Common Crane,8
2023/04/09,DE-NI,Common Crane,1
2023/04/10,DE-NI,Common Crane,2
2023/04/11,DE-NI,Common Crane,2
2023/04/12,DE-NI,Common Crane,4
2023/04/13,DE-NI,Common Crane,1
2023/04/14,DE-NI,Common Crane,3
2023/04/15,DE-NI,Common Crane,0
2023/04/16,DE-NI,Common Crane,26
2023/04/17,DE-NI,Common Crane,2
2023/04/18,DE-NI,Common Crane,2
2023/04/19,DE-NI,Common Crane,1
2023/04/21,DE-NI,Common Crane,6
2023/04/22,DE-NI,Common Crane,6
2023/04/23,DE-NI,Common Crane,3
2023/04/24,DE-NI,Common Crane,28
2023/04/25,DE-NI,Common Crane,1
2023/04/26,DE-NI,Common Crane,13
2023/04/27,DE-NI,Common Crane,4
2023/04/28,DE-NI,Common Crane,35
2023/04/29,DE-NI,Common Crane,1
2023/04/30,DE-NI,Common Crane,2
2023/05/01,DE-NI,Common Crane,32
2023/05/02,DE-NI,Common Crane,4
2023/05/03,DE-NI,Common Crane,1
2023/05/04,DE-NI,Common Crane,1
2023/05/05,DE-NI,Common Crane,2
2023/05/06,DE-NI,Common Crane,26
2023/05/07,DE-NI,Common Crane,44
2023/05/08,DE-NI,Common Crane,3
2023/05/10,DE-NI,Common Crane,1
2023/05/12,DE-NI,Common Crane,0
2023/05/13,DE-NI,Common Crane,2
2023/05/14,DE-NI,Common Crane,20
2023/05/15,DE-NI,Common Crane,1
2023/05/18,DE-NI,Common Crane,2
2023/05/19,DE-NI,Common Crane,25
2023/05/20,DE-NI,Common Crane,45
2023/05/21,DE-NI,Common Crane,45
2023/05/23,DE-NI,Common Crane,12
2023/05/24,DE-NI,Common Crane,5
2023/05/25,DE-NI,Common Crane,4
2023/05/26,DE-NI,Common Crane,15
2023/05/27,DE-NI,Common Crane,2
2023/05/28,DE-NI,Common Crane,10
2023/05/29,DE-NI,Common Crane,26
2023/05/30,DE-NI,Common Crane,40
2023/05/31,DE-NI,Common Crane,1
2023/06/02,DE-NI,Common Crane,0
2023/06/03,DE-NI,Common Crane,2
2023/06/04,DE-NI,Common Crane,4
2023/06/05,DE-NI,Common Crane,1
2023/06/06,DE-NI,Common Crane,3
2023/06/07,DE-NI,Common Crane,3
2023/06/08,DE-NI,Common Crane,10
2023/06/09,DE-NI,Common Crane,50
2023/06/10,DE-NI,Common Crane,1
2023/06/11,DE-NI,Common Crane,0
2023/06/12,DE-NI,Common Crane,1
2023/06/13,DE-NI,Common Crane,2
2023/06/15,DE-NI,Common Crane,2
2023/06/16,DE-NI,Common Crane,17
2023/06/18,DE-NI,Common Crane,1
2023/06/23,DE-NI,Common Crane,2
2023/06/25,DE-NI,Common Crane,13
2023/06/26,DE-NI,Common Crane,6
2023/06/27,DE-NI,Common Crane,2
2023/07/02,DE-NI,Common Crane,2
2023/07/03,DE-NI,Common Crane,0
2023/07/04,DE-NI,Common Crane,2
2023/07/06,DE-NI,Common Crane,0
2023/07/07,DE-NI,Common Crane,1
2023/07/08,DE-NI,Common Crane,12
2023/07/09,DE-NI,Common Crane,2
2023/07/11,DE-NI,Common Crane,1
2023/07/12,DE-NI,Common Crane,2
2023/07/14,DE-NI,Common Crane,5
2023/07/15,DE-NI,Common Crane,0
2023/07/16,DE-NI,Common Crane,2
2023/07/17,DE-NI,Common Crane,0
2023/07/20,DE-NI,Common Crane,2
2023/07/22,DE-NI,Common Crane,140
2023/07/24,DE-NI,Common Crane,5
2023/07/25,DE-NI,Common Crane,2
2023/07/26,DE-NI,Common Crane,10
2023/07/27,DE-NI,Common Crane,7
2023/07/29,DE-NI,Common Crane,0
2023/07/30,DE-NI,Common Crane,1
2023/08/04,DE-NI,Common Crane,2
2023/08/05,DE-NI,Common Crane,6
2023/08/10,DE-NI,Common Crane,2
2023/08/11,DE-NI,Common Crane,27
2023/08/12,DE-NI,Common Crane,4
2023/08/13,DE-NI,Common Crane,2
2023/08/14,DE-NI,Common Crane,29
2023/08/15,DE-NI,Common Crane,4
2023/08/17,DE-NI,Common Crane,3
2023/08/18,DE-NI,Common Crane,3
2023/08/21,DE-NI,Common Crane,4
2023/08/23,DE-NI,Common Crane,2
2023/08/24,DE-NI,Common Crane,36
2023/08/26,DE-NI,Common Crane,2
2023/08/27,DE-NI,Common Crane,30
2023/08/28,DE-NI,Common Crane,2
2023/08/30,DE-NI,Common Crane,2
2023/08/31,DE-NI,Common Crane,22
2023/09/01,DE-NI,Common Crane,2
2023/09/02,DE-NI,Common Crane,2
2023/09/03,DE-NI,Common Crane,6
2023/09/05,DE-NI,Common Crane,7
2023/09/06,DE-NI,Common Crane,2
2023/09/07,DE-NI,Common Crane,16
2023/09/08,DE-NI,Common Crane,3
2023/09/09,DE-NI,Common Crane,2
2023/09/11,DE-NI,Common Crane,1
2023/09/12,DE-NI,Common Crane,12
2023/09/13,DE-NI,Common Crane,45
2023/09/16,DE-NI,Common Crane,2
2023/09/17,DE-NI,Common Crane,2
2023/09/23,DE-NI,Common Crane,2
2023/09/24,DE-NI,Common Crane,0
2023/09/25,DE-NI,Common Crane,250
2023/09/26,DE-NI,Common Crane,450
