Arrival_Date_Ref,Measurement_Date,Days_Before_Arrival,PM2.5,PM10,Count,Region
2023-02-15,2023-01-31,-15,2.8766666666666665,5.167083333333333,105,DE-NI
2023-02-15,2023-02-01,-14,1.3854166666666667,2.497916666666667,105,DE-NI
2023-02-15,2023-02-02,-13,1.82125,3.9425,105,DE-NI
2023-02-15,2023-02-03,-12,3.3995833333333336,5.527083333333334,105,DE-NI
2023-02-15,2023-02-04,-11,3.519166666666667,5.105833333333334,105,DE-NI
2023-02-15,2023-02-05,-10,7.87125,9.659583333333334,105,DE-NI
2023-02-15,2023-02-06,-9,8.739583333333334,10.88875,105,DE-NI
2023-02-15,2023-02-07,-8,19.02125,22.55875,105,DE-NI
2023-02-15,2023-02-08,-7,26.14208333333333,30.14625,105,DE-NI
2023-02-15,2023-02-09,-6,16.357083333333332,18.76625,105,DE-NI
2023-02-15,2023-02-10,-5,23.07208333333333,26.537916666666664,105,DE-NI
2023-02-15,2023-02-11,-4,15.874583333333334,19.60333333333333,105,DE-NI
2023-02-15,2023-02-12,-3,9.12375,13.001666666666669,105,DE-NI
2023-02-15,2023-02-13,-2,16.226666666666667,19.219583333333333,105,DE-NI
2023-02-15,2023-02-14,-1,19.0775,21.7575,105,DE-NI
2023-02-15,2023-02-15,0,19.27,22.68,105,DE-NI
2024-02-15,2024-01-18,-28,11.33,12.954166666666666,130,DE-NI
2024-02-15,2024-01-19,-27,3.56625,4.5675,130,DE-NI
2024-02-15,2024-01-20,-26,10.29625,11.813333333333333,130,DE-NI
2024-02-15,2024-01-21,-25,5.492916666666666,6.221666666666667,130,DE-NI
2024-02-15,2024-01-22,-24,1.1670833333333337,1.4516666666666669,130,DE-NI
2024-02-15,2024-01-23,-23,1.0941666666666667,2.4258333333333333,130,DE-NI
2024-02-15,2024-01-24,-22,1.0666666666666669,2.4775,130,DE-NI
2024-02-15,2024-01-25,-21,3.82,7.791250000000001,130,DE-NI
2024-02-15,2024-01-26,-20,3.08,4.1466666666666665,130,DE-NI
2024-02-15,2024-01-27,-19,7.325833333333333,10.515416666666669,130,DE-NI
2024-02-15,2024-01-28,-18,11.856666666666667,14.810416666666669,130,DE-NI
2024-02-15,2024-01-29,-17,11.539583333333333,13.178333333333336,130,DE-NI
2024-02-15,2024-01-30,-16,20.124583333333334,22.802916666666665,130,DE-NI
2024-02-15,2024-01-31,-15,2.7416666666666667,4.270416666666667,130,DE-NI
2024-02-15,2024-02-01,-14,2.939166666666667,5.35625,130,DE-NI
2024-02-15,2024-02-02,-13,8.2975,10.572916666666666,130,DE-NI
2024-02-15,2024-02-03,-12,4.224166666666666,4.7908333333333335,130,DE-NI
2024-02-15,2024-02-04,-11,1.8875,2.695,130,DE-NI
2024-02-15,2024-02-05,-10,2.2341666666666664,3.543333333333333,130,DE-NI
2024-02-15,2024-02-06,-9,1.7225,1.99125,130,DE-NI
2024-02-15,2024-02-07,-8,1.2666666666666666,2.265416666666667,130,DE-NI
2024-02-15,2024-02-08,-7,13.044583333333334,-401.0741666666667,130,DE-NI
2024-02-15,2024-02-09,-6,4.422916666666667,4.970416666666667,130,DE-NI
2024-02-15,2024-02-10,-5,3.42,4.413333333333333,130,DE-NI
2024-02-15,2024-02-11,-4,10.783333333333331,11.972916666666668,130,DE-NI
2024-02-15,2024-02-12,-3,7.286666666666666,8.460833333333333,130,DE-NI
2024-02-15,2024-02-13,-2,11.180833333333332,12.992083333333332,130,DE-NI
2024-02-15,2024-02-14,-1,4.05,4.51625,130,DE-NI
2024-02-15,2024-02-15,0,5.05,5.38,130,DE-NI
2025-02-11,2025-01-14,-28,12.832083333333337,14.719166666666666,300,DE-NI
2025-02-11,2025-01-15,-27,10.48,12.374166666666667,300,DE-NI
2025-02-11,2025-01-16,-26,13.709583333333336,15.644166666666663,300,DE-NI
2025-02-11,2025-01-17,-25,18.926666666666662,20.625,300,DE-NI
2025-02-11,2025-01-18,-24,27.4475,28.58375,300,DE-NI
2025-02-11,2025-01-19,-23,25.94666666666667,27.09,300,DE-NI
2025-02-11,2025-01-20,-22,38.86333333333334,41.49791666666667,300,DE-NI
2025-02-11,2025-01-21,-21,48.47375,51.99541666666667,300,DE-NI
2025-02-11,2025-01-22,-20,31.42875,33.089166666666664,300,DE-NI
2025-02-11,2025-01-23,-19,8.921666666666667,9.392083333333334,300,DE-NI
2025-02-11,2025-01-24,-18,1.8970833333333332,2.2525,300,DE-NI
2025-02-11,2025-01-25,-17,2.692083333333333,3.0400000000000005,300,DE-NI
2025-02-11,2025-01-26,-16,5.6554166666666665,6.093333333333334,300,DE-NI
2025-02-11,2025-01-27,-15,0.9379166666666668,1.27375,300,DE-NI
2025-02-11,2025-01-28,-14,1.9416666666666669,2.6279166666666667,300,DE-NI
2025-02-11,2025-01-29,-13,1.205833333333333,1.5841666666666667,300,DE-NI
2025-02-11,2025-01-30,-12,4.075,4.655833333333333,300,DE-NI
2025-02-11,2025-01-31,-11,6.254583333333334,7.416666666666667,300,DE-NI
2025-02-11,2025-02-01,-10,32.70916666666667,36.40125,300,DE-NI
2025-02-11,2025-02-02,-9,28.41708333333333,31.06833333333333,300,DE-NI
2025-02-11,2025-02-03,-8,31.610416666666666,36.75541666666667,300,DE-NI
2025-02-11,2025-02-04,-7,38.283750000000005,42.00666666666667,300,DE-NI
2025-02-11,2025-02-05,-6,27.5375,30.30333333333333,300,DE-NI
2025-02-11,2025-02-06,-5,14.953333333333331,17.162916666666668,300,DE-NI
2025-02-11,2025-02-07,-4,5.2975,6.736666666666667,300,DE-NI
2025-02-11,2025-02-08,-3,23.558333333333334,25.3875,300,DE-NI
2025-02-11,2025-02-09,-2,27.691666666666663,30.429166666666664,300,DE-NI
2025-02-11,2025-02-10,-1,21.845416666666665,24.642916666666665,300,DE-NI
2025-02-11,2025-02-11,0,24.85,27.65,300,DE-NI
