date,pm2_5_mean,no2_mean,error
2023-04-01,5.993200000000001,13.018799999999997,
2023-04-02,1.9847999999999997,3.6372000000000004,
2023-04-03,1.202,5.692000000000002,
2023-04-04,5.1436,20.5364,
2023-04-05,15.898399999999999,40.7748,
2023-04-06,15.331599999999998,29.4568,
2023-04-07,7.3031999999999995,15.275599999999999,
2023-04-08,13.761199999999997,20.0804,
2023-04-09,17.370800000000003,24.561200000000003,
2023-04-10,16.428,20.450799999999994,
2023-04-11,4.4036,12.684800000000003,
2023-04-12,7.160399999999999,20.385600000000004,
2023-04-13,10.8584,33.9028,
2023-04-14,11.4536,16.851200000000002,
2023-04-15,4.260799999999999,7.1152,
2023-04-16,3.8759999999999994,6.683199999999999,
2023-04-17,5.323599999999999,7.192,
2023-04-18,8.9344,7.11,
2023-04-19,4.046000000000001,4.7008,
2023-04-20,7.725200000000001,9.710399999999998,
2023-04-21,13.356399999999999,8.914399999999999,
2023-04-22,13.2748,11.738400000000002,
2023-04-23,13.981200000000001,31.965999999999994,
2023-04-24,3.9223999999999997,13.115600000000002,
2023-04-25,2.6951999999999994,6.480000000000001,
2023-04-26,1.7007999999999996,6.920400000000001,
2023-04-27,11.4324,29.0376,
2023-04-28,19.544,31.77000000000001,
2023-04-29,10.432800000000002,9.779200000000001,
2023-04-30,4.424000000000001,14.8348,
2023-05-01,10.98,28.977999999999998,
2023-05-02,5.9124000000000025,9.7792,
2023-05-03,5.3039999999999985,21.178399999999996,
2023-05-04,6.338800000000001,15.796399999999997,
2023-05-05,5.910000000000001,4.6171999999999995,
2023-05-06,2.8583999999999996,4.64,
2023-05-07,2.208799999999999,4.148399999999999,
2023-05-08,2.9692000000000003,5.224399999999999,
2023-05-09,6.1036,5.3428,
2023-05-10,10.162799999999999,23.471200000000003,
2023-05-11,6.936399999999999,10.398000000000001,
2023-05-12,6.3768,5.8340000000000005,
2023-05-13,5.0988,9.103599999999998,
2023-05-14,4.676399999999999,10.779200000000001,
2023-05-15,6.3228,10.610399999999997,
2023-05-16,3.4496,4.6,
2023-05-17,2.0704,6.0176,
2023-05-18,2.7036000000000002,10.119200000000001,
2023-05-19,3.0240000000000005,6.391199999999999,
2023-05-20,5.0944,4.089600000000001,
2023-05-21,6.114,4.7056000000000004,
2023-05-22,6.4676,6.546800000000003,
2023-05-23,6.6659999999999995,9.012800000000002,
2023-05-24,3.5436,11.2564,
2023-05-25,3.4760000000000004,9.1744,
2023-05-26,3.7468,7.68,
2023-05-27,4.106399999999999,12.743999999999996,
2023-05-28,6.5736,14.551999999999998,
2023-05-29,2.7752,6.224,
2023-05-30,4.2059999999999995,9.0444,
2023-05-31,4.6272,16.5292,
2023-06-01,3.1535999999999995,4.6156,
2023-06-02,2.0856,4.138,
2023-06-03,1.5355999999999996,5.075199999999999,
2023-06-04,4.189199999999999,9.106,
2023-06-05,5.6808000000000005,8.4104,
2023-06-06,6.1784,9.640400000000001,
2023-06-07,5.1132,5.971200000000001,
2023-06-08,5.1124,6.3564,
2023-06-09,4.876399999999999,4.8872,
2023-06-10,4.670400000000001,3.2852000000000006,
2023-06-11,3.2631999999999994,3.858,
2023-06-12,3.8383999999999996,5.529600000000001,
2023-06-13,3.1416000000000004,4.820399999999999,
2023-06-14,4.46,3.946,
2023-06-15,3.9799999999999995,8.2376,
2023-06-16,4.224,10.840399999999997,
2023-06-17,6.8,10.328,
2023-06-18,7.865600000000001,18.4648,
2023-06-19,9.623199999999999,16.282799999999998,
2023-06-20,15.2624,21.453599999999998,
2023-06-21,8.4056,13.3028,
2023-06-22,6.046399999999998,7.6171999999999995,
2023-06-23,2.4356000000000004,4.4872,
2023-06-24,3.6296,8.306799999999999,
2023-06-25,8.115999999999998,15.582400000000005,
2023-06-26,7.6091999999999995,9.176400000000003,
2023-06-27,3.241999999999999,3.7816,
2023-06-28,2.8216,8.557599999999999,
2023-06-29,9.314,26.97,
2023-06-30,7.274799999999999,14.487599999999997,
2024-04-01,12.9256,16.3172,
2024-04-02,2.418800000000001,8.1604,
2024-04-03,4.0988,17.054399999999998,
2024-04-04,2.3531999999999997,12.194399999999998,
2024-04-05,3.2159999999999993,12.796800000000001,
2024-04-06,4.7404,16.574800000000003,
2024-04-07,10.4404,28.494,
2024-04-08,22.5336,33.0588,
2024-04-09,13.7216,14.608800000000004,
2024-04-10,3.5351999999999997,21.753200000000003,
2024-04-11,5.3968,16.773600000000005,
2024-04-12,6.562800000000001,15.1692,
2024-04-13,10.709200000000001,11.553600000000001,
2024-04-14,4.235599999999999,8.131200000000002,
2024-04-15,2.992,13.265999999999998,
2024-04-16,1.0692,6.935200000000001,
2024-04-17,3.0516,10.992800000000003,
2024-04-18,3.242400000000001,14.107200000000002,
2024-04-19,2.2643999999999997,13.2804,
2024-04-20,1.6983999999999997,6.943600000000001,
2024-04-21,3.5088,10.901599999999998,
2024-04-22,6.6972000000000005,33.0876,
