Date,Region,Max_Temp
2021-03-20,Süd,-0.2
2021-03-21,Nord,9.8
2021-03-21,Süd,1.0
2021-03-22,Nord,9.0
2021-03-22,Süd,3.1
2021-03-23,Nord,8.1
2021-03-23,Süd,6.2
2021-03-24,Nord,13.6
2021-03-24,Süd,12.1
2021-03-25,Nord,13.3
2021-03-25,Süd,15.1
2021-03-26,Nord,14.7
2021-03-26,Süd,16.4
2021-03-27,Nord,9.8
2021-03-27,Süd,9.6
2021-03-28,Nord,11.8
2021-03-28,Süd,13.1
2021-03-29,Nord,17.5
2021-03-29,Süd,17.3
2021-03-30,Nord,19.6
2021-03-30,Süd,19.5
2021-03-31,Nord,22.4
2021-03-31,Süd,20.6
2021-04-01,Nord,12.9
2021-04-01,Süd,21.5
2021-04-02,Nord,7.9
2021-04-02,Süd,12.5
2021-04-03,Nord,11.1
2021-04-03,Süd,7.1
2021-04-04,Nord,8.4
2021-04-04,Süd,9.9
2021-04-05,Nord,6.3
2021-04-05,Süd,13.4
2021-04-06,Nord,5.1
2021-04-06,Süd,2.8
2021-04-07,Nord,6.3
2021-04-07,Süd,2.8
2021-04-08,Nord,6.3
2021-04-08,Süd,5.7
2021-04-09,Nord,10.4
2021-04-09,Süd,15.8
2021-04-10,Nord,9.1
2021-04-10,Süd,15.4
2021-04-11,Nord,10.8
2021-04-11,Süd,19.0
2021-04-12,Nord,7.8
2021-04-12,Süd,8.4
2021-04-13,Nord,8.9
2021-04-13,Süd,5.6
2021-04-14,Nord,8.2
2021-04-14,Süd,5.8
2021-04-15,Nord,9.2
2021-04-15,Süd,6.3
2021-04-16,Nord,10.2
2021-04-16,Süd,6.0
2021-04-17,Nord,12.8
2021-04-17,Süd,6.1
2021-04-18,Nord,14.6
2021-04-18,Süd,8.1
2021-04-19,Nord,15.9
2021-04-19,Süd,9.8
2021-04-20,Nord,15.7
2021-04-20,Süd,11.4
2021-04-21,Nord,12.1
2021-04-21,Süd,14.9
2021-04-22,Nord,9.1
2021-04-22,Süd,12.9
2021-04-23,Nord,12.1
2021-04-23,Süd,13.9
2021-04-24,Nord,11.9
2021-04-24,Süd,16.6
2021-04-25,Nord,10.6
2021-04-25,Süd,14.4
2021-04-26,Nord,10.1
2021-04-26,Süd,13.6
2021-04-27,Nord,11.8
2021-04-27,Süd,15.2
2021-04-28,Nord,16.0
2021-04-28,Süd,18.6
2021-04-29,Nord,10.0
2021-04-29,Süd,15.6
2021-04-30,Nord,12.1
2021-04-30,Süd,17.8
2022-03-01,Nord,7.7
2022-03-01,Süd,6.2
2022-03-02,Nord,8.3
2022-03-02,Süd,6.9
2022-03-03,Nord,5.0
2022-03-03,Süd,8.5
2022-03-04,Nord,5.8
2022-03-04,Süd,5.4
2022-03-05,Nord,5.7
2022-03-05,Süd,4.1
2022-03-06,Nord,4.6
2022-03-06,Süd,3.1
2022-03-07,Nord,7.9
2022-03-07,Süd,0.9
2022-03-08,Nord,9.4
2022-03-08,Süd,6.2
2022-03-09,Nord,11.2
2022-03-09,Süd,10.4
2022-03-10,Nord,11.4
2022-03-10,Süd,11.4
2022-03-11,Nord,8.3
2022-03-11,Süd,8.6
2022-03-12,Nord,11.0
2022-03-12,Süd,10.9
2022-03-13,Nord,11.8
2022-03-13,Süd,12.9
2022-03-14,Nord,9.4
2022-03-14,Süd,13.6
2022-03-15,Nord,11.3
2022-03-15,Süd,11.9
2022-03-16,Nord,10.3
2022-03-16,Süd,9.7
2022-03-17,Nord,9.8
2022-03-17,Süd,10.7
2022-03-18,Nord,12.9
2022-03-18,Süd,11.0
2022-03-19,Nord,10.1
2022-03-19,Süd,9.1
2022-03-20,Nord,11.9
2022-03-20,Süd,12.8
2022-03-21,Nord,13.4
2022-03-21,Süd,12.2
2022-03-22,Nord,16.2
2022-03-22,Süd,14.0
2022-03-23,Nord,16.5
2022-03-23,Süd,16.1
2022-03-24,Nord,15.2
2022-03-24,Süd,16.8
2022-03-25,Nord,16.1
2022-03-25,Süd,16.0
2022-03-26,Nord,12.9
2022-03-26,Süd,16.0
2022-03-27,Nord,14.4
2022-03-27,Süd,17.0
2022-03-28,Nord,11.3
2022-03-28,Süd,18.5
2022-03-29,Nord,9.2
2022-03-29,Süd,16.9
2022-03-30,Nord,6.8
2022-03-30,Süd,11.9
2022-03-31,Nord,6.1
2022-03-31,Süd,9.8
2022-04-01,Nord,4.7
2022-04-01,Süd,6.1
2022-04-02,Nord,5.9
2022-04-02,Süd,0.8
2022-04-03,Nord,7.9
2022-04-03,Süd,1.2
2022-04-04,Nord,7.6
2022-04-04,Süd,6.6
2022-04-05,Nord,8.1
2022-04-05,Süd,9.9
2022-04-06,Nord,10.1
2022-04-06,Süd,15.6
2022-04-07,Nord,10.4
2022-04-07,Süd,15.3
2022-04-08,Nord,9.2
2022-04-08,Süd,13.5
2022-04-09,Nord,7.2
2022-04-09,Süd,11.8
2022-04-10,Nord,7.9
2022-04-10,Süd,7.2
2022-04-11,Nord,11.8
2022-04-11,Süd,12.9
2022-04-12,Nord,15.9
2022-04-12,Süd,18.5
2022-04-13,Nord,21.0
2022-04-13,Süd,20.1
2022-04-14,Nord,16.2
2022-04-14,Süd,21.0
2022-04-15,Nord,11.0
2022-04-15,Süd,17.2
2022-04-16,Nord,12.1
2022-04-16,Süd,9.9
2022-04-17,Nord,14.2
2022-04-17,Süd,10.1
2022-04-18,Nord,15.4
2022-04-18,Süd,12.9
2022-04-19,Nord,14.1
2022-04-19,Süd,13.4
2022-04-20,Nord,14.8
2022-04-20,Süd,11.9
2022-04-21,Nord,13.9
2022-04-21,Süd,14.3
2022-04-22,Nord,15.1
2022-04-22,Süd,15.3
2022-04-23,Nord,16.2
2022-04-23,Süd,15.4
2022-04-24,Nord,12.8
2022-04-24,Süd,12.1
2022-04-25,Nord,13.8
2022-04-25,Süd,14.5
2022-04-26,Nord,15.6
2022-04-26,Süd,11.3
