Date,O3
2020-11-25,14.208181818181817
2020-11-26,14.99375
2020-11-27,2.21
2020-11-28,32.985416666666666
2020-11-29,28.344583333333333
2020-11-30,24.03916666666667
2020-12-01,20.065
2020-12-02,3.155416666666667
2020-12-03,28.596666666666664
2020-12-04,27.217916666666667
2020-12-05,28.754583333333333
2020-12-06,40.912083333333335
2020-12-07,33.52916666666667
2020-12-08,11.224583333333333
2020-12-09,18.40625
2020-12-10,25.935833333333335
2020-12-11,21.059166666666666
2020-12-12,11.196666666666665
2020-12-13,1.1208333333333333
2020-12-14,2.017916666666667
2020-12-15,5.239583333333333
2020-12-16,5.88
2020-12-17,12.07625
2020-12-18,6.7820833333333335
2020-12-19,17.45958333333333
2020-12-20,10.2925
2020-12-21,8.937916666666666
2020-12-22,34.220416666666665
2020-12-23,6.73125
2020-12-24,33.76291666666666
2020-12-25,45.16625
2020-12-26,37.95333333333333
2020-12-27,62.913333333333334
2020-12-28,22.73625
2020-12-29,15.458333333333334
2020-12-30,8.713333333333333
2020-12-31,4.014166666666667
2021-01-01,0.5241666666666667
2021-01-02,0.7833333333333333
2021-01-03,34.89083333333333
2021-01-04,22.45625
2021-01-05,20.817083333333333
2021-01-06,27.126666666666665
2021-01-07,14.160000000000002
2021-01-08,1.32125
2021-01-09,1.01625
2021-01-10,14.411666666666667
2021-01-11,36.64333333333334
2021-01-12,42.34875
2021-01-13,59.992916666666666
2021-01-14,33.528333333333336
2021-01-15,49.04750000000001
2021-01-16,55.92416666666667
2021-01-17,21.000416666666666
2021-01-18,13.583333333333334
2021-01-19,38.93625
2021-01-20,53.59916666666666
2021-01-21,64.82041666666667
2021-01-22,44.29749999999999
2021-01-23,4.164166666666667
2021-01-24,31.63291666666667
2021-01-25,30.61125
2021-01-26,21.152916666666666
2021-01-27,44.345
2021-01-28,25.12909090909091
2021-01-29,27.62291666666667
2021-01-30,25.54625
2021-01-31,4.198333333333333
2021-02-01,29.312083333333334
2021-02-02,7.210416666666666
2021-02-03,0.18083333333333332
2021-02-04,32.471250000000005
2021-02-05,46.84916666666667
2021-02-06,61.25958333333333
2021-02-07,84.10083333333334
2021-02-08,73.19458333333334
2021-02-09,24.27333333333333
2021-02-10,3.8537500000000002
2021-02-11,32.59166666666666
2021-02-12,33.25416666666667
2021-02-13,31.232916666666668
2021-02-14,19.628333333333334
2021-02-15,23.24875
2021-02-16,17.678749999999997
2021-02-17,27.037499999999998
2021-02-18,15.690416666666666
2021-02-19,29.89625
2021-02-20,16.489166666666666
2021-02-21,20.105
2021-02-22,9.611666666666666
2021-02-23,9.686666666666666
2021-02-24,25.690416666666668
2021-02-25,24.4475
2021-02-26,40.650416666666665
2021-02-27,60.48416666666666
2021-02-28,40.7925
2021-03-01,19.506249999999998
2021-03-02,11.442083333333334
2021-03-03,20.55666666666667
2021-03-04,49.3825
2021-03-05,45.09291666666667
2021-03-06,51.30583333333333
2021-03-07,75.75791666666667
2021-03-08,46.687916666666666
2021-03-09,29.788749999999997
2021-03-10,35.86958333333333
2021-03-11,55.00083333333333
2021-03-12,53.779583333333335
2021-03-13,61.81125
2021-03-14,60.51499999999999
2021-03-15,47.26583333333334
2021-03-16,51.98875
2021-03-17,33.37208333333333
2021-03-18,20.709999999999997
2021-03-19,51.88625
2021-03-20,69.17166666666667
2021-03-21,71.64583333333333
2021-03-22,44.16833333333333
2021-03-23,56.71458333333334
2021-03-24,21.1275
2021-03-25,14.934583333333334
2021-03-26,17.517500000000002
2021-03-27,50.16583333333333
2021-03-28,62.13478260869565
2021-03-29,58.711666666666666
2021-03-30,50.11625
2021-03-31,27.152083333333334
2021-04-01,54.51500000000001
2021-04-02,77.48583333333333
2021-04-03,65.29791666666667
2021-04-04,48.97291666666666
2021-04-05,75.10291666666667
2021-04-06,73.25375
2021-04-07,74.20833333333333
2021-04-08,79.15625
2021-04-09,67.77791666666667
2021-04-10,37.60375
2021-04-11,58.68208333333334
2021-04-12,63.56916666666667
2021-04-13,63.49458333333334
2021-04-14,74.47791666666667
2021-04-15,78.64833333333333
2021-04-16,86.1275
2021-04-17,68.24833333333333
2021-04-18,38.63916666666667
2021-04-19,40.07791666666667
2021-04-20,45.540416666666665
2021-04-21,55.968333333333334
2021-04-22,80.58541666666666
2021-04-23,75.02624999999999
2021-04-24,63.97
2021-04-25,43.02583333333333
2021-04-26,48.63458333333333
2021-04-27,60.03666666666667
2021-04-28,71.85458333333334
2021-04-29,59.723333333333336
2021-04-30,72.83749999999999
2021-05-01,58.41375
2021-05-02,44.331250000000004
2021-05-03,83.74499999999999
2021-05-04,79.4225
2021-05-05,79.84041666666667
2021-05-06,63.854166666666664
2021-05-07,43.655
2021-05-08,60.248333333333335
2021-05-09,83.29875
2021-05-10,96.97833333333334
2021-05-11,72.39166666666667
2021-05-12,62.91166666666666
2021-05-13,50.79833333333334
2021-05-14,56.520833333333336
2021-05-15,52.86291666666667
2021-05-16,44.65875
2021-05-17,35.800000000000004
2021-05-18,29.16125
2021-05-19,39.1975
2021-05-20,46.59625
2021-05-21,59.701249999999995
2021-05-22,64.10583333333334
2021-05-23,56.40875
2021-05-24,50.27791666666667
2021-05-25,52.08041666666667
2021-05-26,57.84708333333333
2021-05-27,56.490833333333335
2021-05-28,42.63791666666667
2021-05-29,52.76125
2021-05-30,78.85791666666667
2021-05-31,58.87083333333334
2021-06-01,54.19166666666666
2021-06-02,72.44791666666667
2021-06-03,88.89999999999999
2021-06-04,90.06291666666668
2021-06-05,75.08791666666666
2021-06-06,76.26458333333333
2021-06-07,84.07333333333334
2021-06-08,73.76125
2021-06-09,55.80083333333334
2021-06-10,60.52041666666667
2021-06-11,59.87083333333334
2021-06-12,44.38041666666667
2021-06-13,63.07708333333333
2021-06-14,49.247083333333336
2021-06-15,56.31916666666667
2021-06-16,80.46625
2021-06-17,101.29791666666667
2021-06-18,96.20083333333334
2021-06-19,94.93541666666665
2021-06-20,71.85375
2021-06-21,80.88375
2021-06-22,60.56
2021-06-23,54.138749999999995
2021-06-24,47.986250000000005
2021-06-25,50.42958333333333
2021-06-26,58.3025
2021-06-27,40.78208333333333
2021-06-28,57.19833333333333
2021-06-29,65.76
2021-06-30,47.104166666666664
2021-07-01,46.62583333333333
2021-07-02,47.371249999999996
2021-07-03,56.25125
2021-07-04,67.23958333333333
2021-07-05,42.7075
2021-07-06,57.7175
2021-07-07,48.10208333333333
2021-07-08,52.34
2021-07-09,50.798750000000005
2021-07-10,59.46416666666667
2021-07-11,54.775416666666665
2021-07-12,51.47
2021-07-13,58.245000000000005
2021-07-14,56.69875
2021-07-15,62.63166666666667
2021-07-16,56.64875
2021-07-17,67.23458333333333
2021-07-18,56.01416666666666
2021-07-19,47.849583333333335
2021-07-20,37.87
2021-07-21,47.08083333333334
2021-07-22,38.86291666666666
2021-07-23,38.086666666666666
2021-07-24,67.83708333333333
2021-07-25,69.74875
2021-07-26,60.55375
2021-07-27,51.73
2021-07-28,48.31666666666666
2021-07-29,69.17125
2021-07-30,56.05458333333333
2021-07-31,62.29208333333333
2021-08-01,61.065416666666664
2021-08-02,54.257083333333334
2021-08-03,37.045
2021-08-04,44.27875
2021-08-05,42.44416666666667
2021-08-06,42.64666666666667
2021-08-07,30.473333333333333
2021-08-08,45.81125
2021-08-09,37.97416666666667
2021-08-10,30.950833333333335
2021-08-11,40.17041666666667
