date,status,observation_count,sum_howMany_birds,pm2_5_mean,no2_mean,diff_howMany,diff_pm2_5_mean,diff_no2_mean
2023-01-01,200,37,386.0,3.4372,12.2732,,,
2023-01-02,200,40,284.0,3.6872000000000007,17.601200000000006,-102.0,0.2500000000000009,5.3280000000000065
2023-01-03,200,55,258.0,11.711199999999998,31.222400000000004,-26.0,8.023999999999997,13.621199999999998
2023-01-04,200,9,21.0,2.734,14.873599999999996,-237.0,-8.977199999999998,-16.348800000000008
2023-01-05,200,29,85.0,2.6688,14.3168,64.0,-0.06519999999999992,-0.5567999999999955
2023-01-06,200,31,782.0,7.779199999999999,32.6892,697.0,5.1103999999999985,18.3724
2023-01-07,200,44,157.0,5.7728,25.91720000000001,-625.0,-2.0063999999999984,-6.771999999999991
2023-01-08,200,43,486.0,4.144399999999999,20.7692,329.0,-1.628400000000001,-5.148000000000007
2023-01-09,200,44,682.0,6.944,28.1656,196.0,2.7996000000000008,7.3964
2023-01-10,200,37,193.0,5.4964,22.6536,-489.0,-1.4475999999999996,-5.5120000000000005
2023-01-11,200,13,26.0,3.23,20.2692,-167.0,-2.2664000000000004,-2.3843999999999994
2023-01-12,200,25,395.0,1.6156,12.108399999999996,369.0,-1.6144,-8.160800000000005
2023-01-13,200,35,170.0,1.3284,12.4444,-225.0,-0.2871999999999999,0.33600000000000385
2023-01-14,200,44,266.0,1.592,10.461200000000002,96.0,0.26360000000000006,-1.9831999999999983
2023-01-15,200,46,311.0,0.8671999999999999,8.441600000000001,45.0,-0.7248000000000002,-2.0196000000000005
2023-01-16,200,52,186.0,2.5868,16.828400000000002,-125.0,1.7196000000000002,8.386800000000001
2023-01-17,200,17,63.0,12.261599999999998,31.794799999999995,-123.0,9.674799999999998,14.966399999999993
2023-01-18,200,49,577.0,25.2616,45.28079999999999,514.0,13.000000000000004,13.485999999999997
2023-01-19,200,48,160.0,14.7608,39.6336,-417.0,-10.500800000000002,-5.647199999999991
2023-01-20,200,39,618.0,27.2028,41.3324,458.0,12.442,1.6987999999999985
2023-01-21,200,41,233.0,6.852399999999999,9.142400000000002,-385.0,-20.3504,-32.19
2023-01-22,200,23,158.0,4.1004000000000005,10.486400000000003,-75.0,-2.751999999999999,1.3440000000000012
2023-01-23,200,29,105.0,8.548800000000002,20.6452,-53.0,4.448400000000001,10.158799999999996
2023-01-24,200,35,415.0,21.106000000000005,34.2656,310.0,12.557200000000003,13.6204
2023-01-25,200,36,511.0,25.4812,46.32320000000001,96.0,4.375199999999996,12.057600000000008
2023-01-26,200,45,212.0,15.3,30.968400000000003,-299.0,-10.1812,-15.354800000000004
2023-01-27,200,11,30.0,7.954400000000001,16.914400000000004,-182.0,-7.3456,-14.053999999999998
2023-01-28,200,56,404.0,5.7836,21.23520000000001,374.0,-2.1708000000000007,4.3208000000000055
2023-01-29,200,42,197.0,10.4484,15.614799999999995,-207.0,4.6648,-5.620400000000014
2023-01-30,200,20,101.0,4.1324000000000005,8.446399999999999,-96.0,-6.315999999999999,-7.1683999999999966
2023-01-31,200,7,38.0,2.1712,10.2624,-63.0,-1.9612000000000007,1.8160000000000007
2023-02-01,200,20,70.0,1.2536,7.378399999999999,32.0,-0.9175999999999997,-2.8840000000000003
2023-02-02,200,37,184.0,7.784,21.9276,114.0,6.5304,14.549200000000003
2023-02-03,200,8,35.0,4.461199999999998,14.1808,-149.0,-3.3228000000000018,-7.746800000000002
2023-02-04,200,40,157.0,2.7836000000000003,13.467600000000004,122.0,-1.6775999999999978,-0.7131999999999952
2023-02-05,200,44,285.0,16.166000000000004,50.8188,128.0,13.382400000000004,37.3512
2023-02-06,200,12,35.0,21.046,45.41840000000001,-250.0,4.8799999999999955,-5.4003999999999905
2023-02-07,200,52,470.0,70.33320000000002,73.646,435.0,49.28720000000002,28.22759999999999
2023-02-08,200,43,411.0,26.178799999999995,42.59439999999999,-59.0,-44.154400000000024,-31.051600000000008
2023-02-09,200,41,117.0,16.2244,33.8692,-294.0,-9.954399999999996,-8.725199999999994
