Date,PM2.5,PM10
2021-01-01,10.656666666666666,12.316666666666668
2021-01-02,12.819166666666668,15.302083333333334
2021-01-03,7.8125,8.68375
2021-01-04,1.9904166666666665,2.0625
2021-01-05,4.3825,4.529583333333333
2021-01-06,1.8954166666666667,2.07625
2021-01-07,2.566666666666667,2.7529166666666662
2021-01-08,5.1275,5.5129166666666665
2021-01-09,5.259583333333333,6.034166666666667
2021-01-10,9.555833333333334,11.340833333333334
2021-01-11,11.012916666666667,12.350416666666668
2021-01-12,2.28,2.7466666666666666
2021-01-13,0.9674999999999999,1.9437499999999999
2021-01-14,2.044166666666667,2.5791666666666666
2021-01-15,5.127083333333333,5.941666666666666
2021-01-16,6.958333333333333,8.164583333333333
2021-01-17,12.073749999999999,13.689583333333333
2021-01-18,6.225833333333333,7.24125
2021-01-19,3.52125,3.9691666666666667
2021-01-20,1.98375,2.7358333333333333
2021-01-21,1.495,2.0079166666666666
2021-01-22,2.652083333333333,3.3745833333333333
2021-01-23,11.2475,13.509166666666665
2021-01-24,10.157916666666667,11.02125
2021-01-25,13.4625,14.871666666666668
2021-01-26,10.687916666666666,11.4325
2021-01-27,6.074999999999999,6.97
2021-01-28,4.427272727272728,5.107727272727273
2021-01-29,4.810416666666667,5.159583333333333
2021-01-30,3.779166666666667,4.296666666666667
2021-01-31,10.627083333333333,12.024583333333334
2021-02-01,13.50625,15.457500000000001
2021-02-02,17.130416666666665,19.335
2021-02-03,6.566666666666666,7.75375
2021-02-04,10.63,11.693333333333333
2021-02-05,11.9325,12.623750000000001
2021-02-06,4.675833333333333,5.147916666666666
2021-02-07,1.2929166666666667,1.4829166666666669
2021-02-08,1.3866666666666667,1.6362500000000002
2021-02-09,3.7937499999999997,5.555833333333333
2021-02-10,4.646249999999999,5.547499999999999
2021-02-11,7.911666666666666,10.15875
2021-02-12,4.754166666666666,5.9925
2021-02-13,10.53,12.23625
2021-02-14,10.254583333333334,11.828333333333333
2021-02-15,4.57,5.156666666666667
