Date,PM2.5_mean,PM2.5_var,PM2.5_min,PM2.5_max,PM10_mean,PM10_var,PM10_min,PM10_max
2021-01-01,10.026666666666667,4.199605797101449,8.15,15.02,11.384583333333333,5.391678079710146,9.02,16.96
2021-01-02,8.455416666666666,1.9250693840579716,6.63,11.43,9.3225,2.5922891304347844,7.43,12.92
2021-01-03,7.861666666666667,19.073805797101446,2.13,14.53,8.442083333333334,21.612582427536246,2.37,15.09
2021-01-04,1.0687499999999999,0.6677940217391304,0.5,4.0,1.29625,0.7314592391304345,0.69,4.35
2021-01-05,1.2975,0.11777608695652174,0.82,1.91,1.5645833333333334,0.1587215579710146,1.06,2.22
2021-01-06,1.9133333333333333,0.24229275362318833,1.07,2.79,2.27625,0.2177722826086958,1.47,3.06
2021-01-07,4.11625,1.0304679347826085,2.66,5.74,4.565416666666667,1.3102432971014482,2.92,6.27
2021-01-08,5.0095833333333335,0.7640476449275364,3.48,6.74,5.465416666666666,0.9191737318840595,3.78,7.24
2021-01-09,7.718333333333334,14.805944927536231,3.93,17.95,8.725,18.089565217391307,4.27,19.6
2021-01-10,9.9225,10.941636956521728,5.15,16.78,11.043333333333335,10.292301449275364,6.98,18.1
2021-01-11,9.327083333333333,3.417082427536234,5.67,12.68,9.915416666666667,4.1999650362318866,5.95,13.65
2021-01-12,2.1445833333333333,1.0917911231884054,0.9,4.43,2.9812499999999997,0.45615054347826034,1.75,4.6
2021-01-13,1.3941666666666668,0.0674514492753623,1.03,1.92,2.192083333333333,0.20121721014492766,1.57,3.4
2021-01-14,2.4162500000000002,3.002659239130435,0.5,6.23,2.99375,4.40038097826087,0.62,7.54
2021-01-15,4.153333333333333,2.5750579710144916,1.99,6.77,4.94,2.8102956521739135,2.55,7.54
2021-01-16,5.565,9.14742608695652,2.55,13.19,6.384166666666666,11.186051449275366,3.17,14.88
2021-01-17,15.66125,4.316602717391304,12.57,19.56,17.507083333333334,4.892673731884058,14.4,21.87
2021-01-18,7.014583333333333,24.83630416666667,2.13,14.46,7.8675,27.416054347826094,2.55,16.13
2021-01-19,4.195833333333334,7.397129710144925,1.46,9.62,4.690416666666667,9.208612862318839,1.71,11.28
2021-01-20,2.4054166666666665,0.36471286231884054,1.48,3.83,2.9637499999999997,0.3205461956521739,1.72,4.14
2021-01-21,1.9225,0.9072021739130437,1.07,4.33,2.5554166666666664,1.4637563405797096,1.32,5.34
2021-01-22,2.495416666666667,3.2751476449275363,0.5,6.79,3.0391666666666666,5.228721014492754,0.56,8.34
2021-01-23,13.575000000000001,15.437165217391305,7.31,19.98,15.45875,16.205898369565215,8.9,21.94
2021-01-24,17.294999999999998,9.242365217391297,12.13,24.25,18.66,8.062365217391308,13.29,25.36
2021-01-25,5.376666666666666,4.016223188405798,2.37,10.0,6.322500000000001,4.917584782608696,2.97,11.33
2021-01-26,13.479999999999999,111.77459130434781,1.35,33.6,14.769166666666665,117.78479927536229,2.23,35.54
2021-01-27,6.87,0.02880000000000005,6.75,6.99,8.475000000000001,0.01124999999999992,8.4,8.55
2021-01-28,9.795454545454545,25.417692640692643,5.12,23.61,11.015454545454546,32.21166406926407,5.98,26.63
2021-01-29,4.699583333333334,22.25706503623189,1.85,19.67,5.334583333333334,29.155547644927534,2.03,22.31
2021-01-30,10.650416666666667,157.05349112318842,1.41,40.99,11.910416666666668,188.3248824275363,1.56,43.84
2021-01-31,17.577916666666667,61.3844606884058,7.76,37.16,18.845416666666665,68.3480346014493,8.64,38.9
2021-02-01,11.037083333333333,9.475682427536233,6.91,17.79,12.689583333333333,11.884543297101446,8.02,20.26
2021-02-02,28.609583333333333,157.728969384058,14.15,49.82,31.844583333333333,195.28921721014498,16.82,55.58
2021-02-03,18.685416666666665,1.253791123188407,15.43,19.96,19.187083333333334,1.3940824275362325,15.75,20.65
2021-02-04,4.395416666666667,17.742112862318837,1.68,14.42,4.7683333333333335,17.243588405797098,2.01,14.62
2021-02-05,6.636666666666667,7.0116144927536235,2.57,10.36,7.28875,8.48589836956522,2.74,11.28
2021-02-06,1.1954166666666668,0.20348677536231885,0.57,1.9,1.4175000000000002,0.1970630434782609,0.79,2.07
2021-02-07,1.0304166666666668,0.12644764492753618,0.5,1.59,1.2425,0.165463043478261,0.63,1.85
2021-02-08,0.8733333333333334,0.07651884057971013,0.5,1.38,1.0925,0.09544565217391303,0.63,1.64
2021-02-09,2.07875,0.31602010869565217,1.26,3.02,2.4570833333333333,0.4198998188405798,1.47,3.46
2021-02-10,2.247916666666667,2.0022519927536235,1.06,5.95,2.85875,3.039707065217391,1.29,7.35
2021-02-11,12.6475,37.75028913043478,5.0,23.52,15.001249999999999,48.24078532608696,6.33,27.54
2021-02-12,5.161666666666666,11.714144927536228,1.93,13.04,6.322083333333333,15.930373731884055,2.47,15.48
2021-02-13,20.291666666666668,137.30167536231883,9.41,50.69,22.83791666666667,165.6645824275362,10.89,56.13
