,Date,Region,Total_Amount,PM2.5_mean,PM2.5_var,PM2.5_min,PM2.5_max,PM10_mean,PM10_var,PM10_min,PM10_max
0,2021-01-01,DE-HH,650,10.026666666666667,4.199605797101449,8.15,15.02,11.384583333333332,5.391678079710146,9.02,16.96
1,2021-01-02,DE-HH,2,8.455416666666666,1.925069384057972,6.63,11.43,9.3225,2.5922891304347844,7.43,12.92
2,2021-01-03,DE-HH,605,7.861666666666667,19.073805797101446,2.13,14.53,8.442083333333334,21.61258242753625,2.37,15.09
3,2021-01-04,DE-HH,42,1.06875,0.6677940217391304,0.5,4.0,1.29625,0.7314592391304345,0.69,4.35
4,2021-01-05,DE-HH,25,1.2975,0.1177760869565217,0.82,1.91,1.5645833333333334,0.1587215579710146,1.06,2.22
5,2021-01-06,DE-HH,12,1.913333333333333,0.2422927536231883,1.07,2.79,2.27625,0.2177722826086958,1.47,3.06
6,2021-01-07,DE-HH,8,4.11625,1.0304679347826085,2.66,5.74,4.565416666666667,1.3102432971014482,2.92,6.27
7,2021-01-08,DE-HH,0,5.0095833333333335,0.7640476449275364,3.48,6.74,5.465416666666666,0.9191737318840596,3.78,7.24
8,2021-01-09,DE-HH,194,7.718333333333334,14.805944927536231,3.93,17.95,8.725,18.089565217391307,4.27,19.6
9,2021-01-10,DE-HH,124,9.9225,10.941636956521728,5.15,16.78,11.043333333333337,10.292301449275364,6.98,18.1
10,2021-01-11,DE-HH,0,9.327083333333333,3.417082427536234,5.67,12.68,9.915416666666667,4.199965036231887,5.95,13.65
11,2021-01-12,DE-HH,23,2.1445833333333333,1.0917911231884054,0.9,4.43,2.98125,0.4561505434782603,1.75,4.6
12,2021-01-13,DE-HH,0,1.3941666666666668,0.0674514492753623,1.03,1.92,2.192083333333333,0.2012172101449276,1.57,3.4
13,2021-01-14,DE-HH,298,2.41625,3.002659239130435,0.5,6.23,2.99375,4.40038097826087,0.62,7.54
14,2021-01-15,DE-HH,160,4.153333333333333,2.575057971014492,1.99,6.77,4.94,2.810295652173913,2.55,7.54
15,2021-01-16,DE-HH,718,5.565,9.14742608695652,2.55,13.19,6.384166666666666,11.186051449275366,3.17,14.88
16,2021-01-17,DE-HH,364,15.66125,4.316602717391304,12.57,19.56,17.507083333333334,4.892673731884058,14.4,21.87
17,2021-01-18,DE-HH,4,7.014583333333333,24.83630416666667,2.13,14.46,7.8675,27.41605434782609,2.55,16.13
18,2021-01-19,DE-HH,11,4.195833333333334,7.397129710144925,1.46,9.62,4.690416666666667,9.20861286231884,1.71,11.28
19,2021-01-20,DE-HH,74,2.4054166666666665,0.3647128623188405,1.48,3.83,2.96375,0.3205461956521739,1.72,4.14
20,2021-01-21,DE-HH,368,1.9225,0.9072021739130436,1.07,4.33,2.5554166666666664,1.4637563405797096,1.32,5.34
21,2021-01-22,DE-HH,1,2.495416666666667,3.2751476449275363,0.5,6.79,3.0391666666666666,5.228721014492754,0.56,8.34
22,2021-01-23,DE-HH,873,13.575,15.437165217391303,7.31,19.98,15.45875,16.205898369565215,8.9,21.94
23,2021-01-24,DE-HH,353,17.294999999999998,9.242365217391296,12.13,24.25,18.66,8.062365217391308,13.29,25.36
24,2021-01-25,DE-HH,84,5.376666666666666,4.016223188405798,2.37,10.0,6.322500000000001,4.917584782608696,2.97,11.33
25,2021-01-26,DE-HH,20,13.48,111.7745913043478,1.35,33.6,14.769166666666663,117.78479927536227,2.23,35.54
26,2021-01-27,DE-HH,39,6.87,0.0288,6.75,6.99,8.475000000000001,0.0112499999999999,8.4,8.55
27,2021-01-28,DE-HH,490,9.795454545454543,25.417692640692643,5.12,23.61,11.015454545454546,32.21166406926407,5.98,26.63
28,2021-01-29,DE-HH,19,4.699583333333334,22.25706503623189,1.85,19.67,5.334583333333334,29.15554764492753,2.03,22.31
29,2021-01-30,DE-HH,512,10.650416666666668,157.05349112318842,1.41,40.99,11.910416666666668,188.3248824275363,1.56,43.84
30,2021-01-31,DE-HH,495,17.577916666666667,61.3844606884058,7.76,37.16,18.845416666666665,68.3480346014493,8.64,38.9
31,2021-02-01,DE-HH,37,11.037083333333332,9.475682427536231,6.91,17.79,12.689583333333331,11.884543297101446,8.02,20.26
32,2021-02-02,DE-HH,209,28.609583333333333,157.728969384058,14.15,49.82,31.844583333333333,195.28921721014495,16.82,55.58
33,2021-02-03,DE-HH,7,18.685416666666665,1.253791123188407,15.43,19.96,19.187083333333334,1.3940824275362325,15.75,20.65
34,2021-02-04,DE-HH,213,4.395416666666667,17.742112862318837,1.68,14.42,4.7683333333333335,17.243588405797098,2.01,14.62
35,2021-02-05,DE-HH,13,6.636666666666667,7.011614492753624,2.57,10.36,7.28875,8.48589836956522,2.74,11.28
36,2021-02-06,DE-HH,756,1.1954166666666668,0.2034867753623188,0.57,1.9,1.4175000000000002,0.1970630434782609,0.79,2.07
37,2021-02-07,DE-HH,56,1.0304166666666668,0.1264476449275361,0.5,1.59,1.2425,0.165463043478261,0.63,1.85
38,2021-02-08,DE-HH,460,0.8733333333333334,0.0765188405797101,0.5,1.38,1.0925,0.095445652173913,0.63,1.64
39,2021-02-09,DE-HH,306,2.07875,0.3160201086956521,1.26,3.02,2.4570833333333333,0.4198998188405798,1.47,3.46
